"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"ピアポントとは意見が合わない点も多いけど、フェイスレスヴォイドを怒らせるのは危険だと気づいた彼は賢明だった。私はクラスズリーム協定はあまり好きじゃない。時間魔法は楽しかったからね。でも、世界の時系列がムチャクチャになるよりはましさ。"
"DCG_VO_ogre_bruiser_taunt_generic_08"	"俺たちが勝つ！"
"DCG_VO_ogre_bruiser_taunt_generic_09"	"奴らに俺たちは止められん！"
"DCG_VO_ogre_bruiser_taunt_generic_10"	"ゆくぞ！"
"DCG_VO_ogre_bruiser_potential_kill_01"	"お前を倒す。"
"DCG_VO_ogre_bruiser_potential_kill_02"	"お前はお終いだ。"
"DCG_VO_ogre_bruiser_potential_kill_03"	"お前の屍を食ってやる…"
"DCG_VO_ogre_bruiser_potential_kill_04"	"逃げ場はないぞ。"
"DCG_VO_ogre_bruiser_potential_kill_05"	"お前はもう死ぬ。"
"DCG_VO_ogre_bruiser_potential_save_01"	"ハッ！"
"DCG_VO_ogre_bruiser_potential_save_02"	"やられるもんか。"
"DCG_VO_ogre_bruiser_potential_save_03"	"ここで死ぬ気はない…"
"DCG_VO_ogre_bruiser_potential_save_04"	"俺は殺せんぞ。"
"DCG_VO_ogre_bruiser_potential_save_05"	"俺をやり込めた気か？"
"DCG_VO_ogre_bruiser_permanent_armor_01"	"俺の皮膚は固いんだ。"
"DCG_VO_ogre_bruiser_permanent_armor_02"	"俺を刺せるなら刺してみろ。"
"DCG_VO_ogre_bruiser_permanent_armor_03"	"痛くも痒くもない。"
"DCG_VO_ogre_bruiser_permanent_armor_04"	"クリープなんぞ、ものではない…"
"DCG_VO_ogre_bruiser_permanent_armor_05"	"俺は戦うために生まれてきた。"
"DCG_VO_ogre_bruiser_permanent_attack_01"	"俺はさらに強くなった。"
"DCG_VO_ogre_bruiser_permanent_attack_02"	"俺に力で敵う奴なんぞいない。"
"DCG_VO_ogre_bruiser_permanent_attack_03"	"かつてない強さだ。"
"DCG_VO_ogre_bruiser_permanent_attack_04"	"力がみなぎる。"
"DCG_VO_ogre_bruiser_permanent_attack_05"	"おお、この力！"
"DCG_VO_ogre_bruiser_permanent_health_01"	"簡単には殺されん。"
"DCG_VO_ogre_bruiser_permanent_health_02"	"俺は死ぬ気はない。"
"DCG_VO_ogre_bruiser_permanent_health_03"	"俺は倒れん！"
"DCG_VO_ogre_bruiser_permanent_health_04"	"殺されてたまるか！"
"DCG_VO_ogre_bruiser_permanent_health_05"	"健康は大事だ。健康があってこそ敵を殺せる。"
"DCG_VO_ogre_bruiser_cast_spell_01"	"オーガの魔法なら少し知ってる…"
"DCG_VO_ogre_bruiser_cast_spell_02"	"叩き壊せ！"
"DCG_VO_ogre_bruiser_cast_spell_03"	"そうはさせん！"
"DCG_VO_ogre_bruiser_cast_spell_04"	"やつらだ！"
"DCG_VO_ogre_bruiser_cast_spell_05"	"敵は通さない。"
"DCG_VO_ogre_bruiser_cast_spell_06"	"簡単にいくと思うか？"
"DCG_VO_ogre_bruiser_cast_spell_07"	"俺には仲間がいっぱいいてね…"
"DCG_VO_ogre_bruiser_cast_spell_08"	"うまくいくといいが…"
"DCG_VO_ogre_bruiser_cast_spell_09"	"面白くなるぞ…"
"DCG_VO_ogre_bruiser_cast_spell_10"	"さあ、何かが起こるぞ。"
"DCG_VO_ogre_bruiser_buff_ally_01"	"戦い方を見せてやるよ…"
"DCG_VO_ogre_bruiser_buff_ally_02"	"お前はもう、俺の仲間だ。"
"DCG_VO_ogre_bruiser_buff_ally_03"	"仲間ってのは、助け合って敵をぶっ殺すんだ。"
"DCG_VO_ogre_bruiser_buff_ally_04"	"お前の背中は預かったぜ。"
"DCG_VO_ogre_bruiser_buff_ally_05"	"俺がついてるぜ。"
"DCG_VO_ogre_bruiser_buff_ally_06"	"一緒に勝とうぜ。"
"DCG_VO_ogre_bruiser_buff_ally_07"	"戦いの絆ってやつだ。"
"DCG_VO_ogre_bruiser_buff_ally_08"	"こいつが役に立つぞ。"
"DCG_VO_ogre_bruiser_buff_ally_09"	"ほれ、受け取れ。"
"DCG_VO_ogre_bruiser_buff_ally_10"	"仲間なら当然だろ？"
"DCG_VO_ogre_bruiser_debuff_enemy_01"	"手足を砕いてやる…"
"DCG_VO_ogre_bruiser_debuff_enemy_02"	"もう長くは持たないな…"
"DCG_VO_ogre_bruiser_debuff_enemy_03"	"どれだけ生き延びられるかな…"
"DCG_VO_ogre_bruiser_debuff_enemy_04"	"バカめ、俺を楽しませろ…"
"DCG_VO_ogre_bruiser_debuff_enemy_05"	"お前の必死にあがく姿は面白いな。"
"DCG_VO_ogre_bruiser_debuff_enemy_06"	"せいぜいがんばりな！"
"DCG_VO_ogre_bruiser_debuff_enemy_07"	"哀れだな。"
"DCG_VO_ogre_bruiser_debuff_enemy_08"	"こいつ、イキが悪いな、味は大丈夫か？"
"DCG_VO_ogre_bruiser_debuff_enemy_09"	"お前は死ぬ。"
"DCG_VO_ogre_bruiser_debuff_enemy_10"	"もがけ、もがけ…"
"DCG_VO_ogre_bruiser_single_target_damage_01"	"両腕を引き抜いてやる…"
"DCG_VO_ogre_bruiser_single_target_damage_02"	"お前を棍棒代わりにしてやる。"
"DCG_VO_ogre_bruiser_single_target_damage_03"	"お前はもう死んだも同然だ。"
"DCG_VO_ogre_bruiser_single_target_damage_04"	"俺に殺せない奴なんていない。"
"DCG_VO_ogre_bruiser_single_target_damage_05"	"お前の骨をすり潰してやる。"
"DCG_VO_ogre_bruiser_single_target_damage_06"	"お前の屍が俺の飯だ。"
"DCG_VO_ogre_bruiser_single_target_damage_07"	"俺が一番強いんだ！"
"DCG_VO_ogre_bruiser_single_target_damage_08"	"頭を叩き潰してやる。"
"DCG_VO_ogre_bruiser_single_target_damage_09"	"お前など素手で叩き潰してやる！"
"DCG_VO_ogre_bruiser_single_target_damage_10"	"俺とやり合えるかな…"
"DCG_VO_ogre_bruiser_multi_damage_small_01"	"その人数で俺と戦う気か？"
"DCG_VO_ogre_bruiser_multi_damage_small_02"	"情けない軍隊だな。"
"DCG_VO_ogre_bruiser_multi_damage_small_03"	"全員、叩き伏せる！"
"DCG_VO_ogre_bruiser_multi_damage_small_04"	"血を見ることになるな…"
"DCG_VO_ogre_bruiser_multi_damage_small_05"	"面白いことになるぞ…"
"DCG_VO_ogre_bruiser_multi_damage_small_06"	"お前らじゃ俺を止められん…"
"DCG_VO_ogre_bruiser_multi_damage_small_07"	"酒場の乱闘に比べりゃ生ぬるいもんだ…"
"DCG_VO_ogre_bruiser_multi_damage_small_08"	"かかって来い、腰抜けどもめ！"
"DCG_VO_ogre_bruiser_multi_damage_small_09"	"これならあっという間だな…"
"DCG_VO_ogre_bruiser_multi_damage_small_10"	"弱っちいクリープめ…"
"DCG_VO_ogre_bruiser_multi_damage_large_01"	"どうだ！"
"DCG_VO_ogre_bruiser_multi_damage_large_02"	"皆でかかって来い！"
"DCG_VO_ogre_bruiser_multi_damage_large_03"	"みんな殺してやる！"
"DCG_VO_ogre_bruiser_multi_damage_large_04"	"お前らは一人残らず死ぬ!"
"DCG_VO_ogre_bruiser_multi_damage_large_05"	"全員、ぶっ潰す！"
"DCG_VO_ogre_bruiser_multi_damage_large_06"	"皆殺しだ！"
"DCG_VO_ogre_bruiser_multi_damage_large_07"	"誰一人逃さん！"
"DCG_VO_ogre_bruiser_multi_damage_large_08"	"お前らは助からん！"
"DCG_VO_ogre_bruiser_multi_damage_large_09"	"<i>咆哮</i>"
"DCG_VO_ogre_bruiser_multi_damage_large_10"	"さあ、やろうぜ！"
"DCG_VO_ogre_bruiser_pleased_01"	"思ったより楽勝だ。"
"DCG_VO_ogre_bruiser_pleased_02"	"やつら、されるがままだな…"
"DCG_VO_ogre_bruiser_pleased_03"	"<i>満足そうに息をつく</i>"
"DCG_VO_ogre_bruiser_pleased_04"	"俺たちの絆が深まったな。"
"DCG_VO_ogre_bruiser_pleased_05"	"今日はみんな一つ賢くなったな。"
"DCG_VO_ogre_bruiser_pleased_06"	"戦場は人を団結させる。"
"DCG_VO_ogre_bruiser_pleased_07"	"いろんな人と出会って殺すのが好きなんだ。"
"DCG_VO_ogre_bruiser_pleased_08"	"絶好調だ。"
"DCG_VO_ogre_bruiser_pleased_09"	"楽しいぞ！"
"DCG_VO_ogre_bruiser_pleased_10"	"こいつはいい。"
"DCG_VO_ogre_bruiser_concerned_01"	"おっと… まずいぞ…"
"DCG_VO_ogre_bruiser_concerned_02"	"なんだかヤバそうだ…"
"DCG_VO_ogre_bruiser_concerned_03"	"こうなるはずじゃなかったんだがな…"
"DCG_VO_ogre_bruiser_concerned_04"	"俺が殺られる気がするのはなぜだ…"
"DCG_VO_ogre_bruiser_concerned_05"	"俺たち、押されてるぞ…"
"DCG_VO_ogre_bruiser_concerned_06"	"作戦を変えたほうが…"
"DCG_VO_ogre_bruiser_concerned_07"	"この作戦、うまくいってないぞ…"
"DCG_VO_ogre_bruiser_concerned_08"	"敵がやたらと多いぞ…"
"DCG_VO_ogre_bruiser_concerned_09"	"敵が大勢いるぞ。俺は岩を2つしか持てねえってのに。"
"DCG_VO_ogre_bruiser_concerned_10"	"別な作戦がいい…"
"DCG_VO_ogre_bruiser_angry_01"	"俺と勝負しろ！"
"DCG_VO_ogre_bruiser_angry_02"	"来い！腰抜け野郎！"
"DCG_VO_ogre_bruiser_angry_03"	"俺を怒らせない方がいいぞ。"
"DCG_VO_ogre_bruiser_angry_04"	" やっちまったな。本当に、バカなことを。"
"DCG_VO_ogre_bruiser_angry_05"	"お前のバカ頭を叩き割る。"
"DCG_VO_ogre_bruiser_angry_06"	"お前の骨を爪楊枝にしてやる…"
"DCG_VO_ogre_bruiser_angry_07"	"お前らには俺を止められん！"
"DCG_VO_ogre_bruiser_angry_08"	"まとめて相手にしてやる！"
"DCG_VO_ogre_bruiser_angry_09"	"俺が最強だ！"
"DCG_VO_ogre_bruiser_angry_10"	"いい度胸だ！"
"DCG_VO_ogre_bruiser_arrogant_01"	"ちょっとは骨があるかと思ったんだがな！"
"DCG_VO_ogre_bruiser_arrogant_02"	"オーガより強い奴はいない！"
"DCG_VO_ogre_bruiser_arrogant_03"	"俺は誰にも止められん！"
"DCG_VO_ogre_bruiser_arrogant_04"	"俺ほど賢くなると、作戦などいらないのさ！"
"DCG_VO_ogre_bruiser_arrogant_05"	"作戦なんぞ、馬の脚を引っこ抜けない奴らのたわ言..."
"DCG_VO_ogre_bruiser_arrogant_06"	"作戦などいらん。岩をぶつけりゃ解決だ。"
"DCG_VO_ogre_bruiser_arrogant_07"	"俺は決して降参しない…"
"DCG_VO_ogre_bruiser_arrogant_08"	"死を恐れるのは臆病者だ…"
"DCG_VO_ogre_bruiser_arrogant_09"	"まともな勝負になるかと思ったが..."
"DCG_VO_ogre_bruiser_arrogant_10"	"お前にはちょっと期待してたんだが…"
"DCG_VO_ogre_bruiser_enigmatic_01"	"必要なことをするだけだ。"
"DCG_VO_ogre_bruiser_enigmatic_02"	"どんな手でも使って倒す。"
"DCG_VO_ogre_bruiser_enigmatic_03"	"俺は何でもぶっ潰せる。"
"DCG_VO_ogre_bruiser_enigmatic_04"	"俺に壊せない物はない。"
"DCG_VO_ogre_bruiser_enigmatic_05"	"奴らの守りを引き裂く。"
"DCG_VO_ogre_bruiser_enigmatic_06"	"スラックスは俺を愛している。それで十分だ。 "
"DCG_VO_ogre_bruiser_enigmatic_07"	"誰でも相手になるぞ…"
"DCG_VO_ogre_bruiser_enigmatic_08"	"俺は誰も恐れん。"
"DCG_VO_ogre_bruiser_enigmatic_09"	"奇妙な…"
"DCG_VO_ogre_bruiser_enigmatic_10"	"これはどういう物だ？"
"DCG_VO_ogre_bruiser_death_01"	"<i>叫び声</i>"
"DCG_VO_prowler_shaman_intro"	"マグナスがあの子を連れてきて、我らに託したんだ。理由は言わなかったが、私は察した。彼女が誰で、どんな人物に育つのかを。"
"DCG_VO_prowler_shaman_equip_generic_weapon_01"	"危険に真っ向から立ち向かおう。"
"DCG_VO_prowler_shaman_equip_generic_weapon_02"	"武器の準備が整った。"
"DCG_VO_prowler_shaman_equip_generic_weapon_03"	"戦うために来た。"
"DCG_VO_prowler_shaman_equip_generic_weapon_04"	"皆を守ってみせる。"
"DCG_VO_prowler_shaman_equip_generic_weapon_05"	"プローラーは守るのが役目だ。"
"DCG_VO_prowler_shaman_equip_generic_armor_01"	"私は味方と共に立つ。"
"DCG_VO_prowler_shaman_equip_generic_armor_02"	"私は危険から隠れたりしない。"
"DCG_VO_prowler_shaman_equip_generic_armor_03"	"敵が来ればいい、こちらは準備万全だ。"
"DCG_VO_prowler_shaman_equip_generic_armor_04"	"私は戦いから逃げない。"
"DCG_VO_prowler_shaman_equip_generic_armor_05"	"何が来ようと立ち向かう。"
"DCG_VO_prowler_shaman_equip_generic_accessory_01"	"これは役に立つ。"
"DCG_VO_prowler_shaman_equip_generic_accessory_02"	"これで戦いの流れが変わる。"
"DCG_VO_prowler_shaman_equip_generic_accessory_03"	"これは助かる。"
"DCG_VO_prowler_shaman_equip_generic_accessory_04"	"素晴らしい。"
"DCG_VO_prowler_shaman_equip_generic_accessory_05"	"最高のタイミングで手に入った。"
"DCG_VO_prowler_shaman_kill_rival_01"	"立ち去るのだ。"
"DCG_VO_prowler_shaman_kill_rival_02"	"ここはお前の来る場所ではない。"
"DCG_VO_prowler_shaman_kill_rival_03"	"ここは私の森だ。"
"DCG_VO_prowler_shaman_kill_rival_04"	"プローラーは恐れなど知らない。"
"DCG_VO_prowler_shaman_kill_rival_05"	"次は誰だ？"
"DCG_VO_prowler_shaman_kill_rival_06"	"良い戦いぶりだった。"
"DCG_VO_prowler_shaman_kill_rival_07"	"お前は強いが、上には上がある。"
"DCG_VO_prowler_shaman_kill_rival_08"	"お間に勝ち目はなかった。"
"DCG_VO_prowler_shaman_kill_rival_09"	"立派な努力だ。"
"DCG_VO_prowler_shaman_kill_rival_10"	"お前は戦士ではないな。"
"DCG_VO_prowler_shaman_unique_01"	"旧友よ、共に戦えて嬉しいぞ。"
"DCG_VO_prowler_shaman_unique_02"	"イレクサは無事だ、マグナス。"
"DCG_VO_prowler_shaman_unique_03"	"私たちを信じたあなたは賢明だ…"
"DCG_VO_prowler_shaman_unique_04"	"ルーフトレレン、お前は見栄っ張りだが、味方で良かった。"
"DCG_VO_prowler_shaman_unique_05"	"私たちは誰にも揺るがない。そうだろ、トレアント。"
"DCG_VO_prowler_shaman_unique_06"	"私の隣にいてくれ、マグナス。"
"DCG_VO_prowler_shaman_unique_07"	"また会えて光栄だ、エンチャントレス。今日も輝かしい。"
"DCG_VO_prowler_shaman_unique_08"	"仲間は十分加護を得るだろう。"
"DCG_VO_prowler_shaman_unique_09"	"血なまぐさい戦いはもうこりごりだ。"
"DCG_VO_prowler_shaman_unique_10"	"自然が我らを助けるだろう。"
"DCG_VO_prowler_shaman_unique_11"	"ここではケンタウロスは歓迎されない…"
"DCG_VO_prowler_shaman_unique_12"	"お前の言う「聖なる狩り」は茶番だな…"
"DCG_VO_prowler_shaman_unique_13"	"この森に住む者たちを襲わせるものか。"
"DCG_VO_prowler_shaman_unique_14"	"子供よ、離れるな。私がお前を守る。"
"DCG_VO_prowler_shaman_unique_15"	"リックスについていくと、死が待っている。"
"DCG_VO_prowler_shaman_unique_16"	"子供よ、信念を持つのはいいが、命をみすみす捨てるでないぞ。"
"DCG_VO_prowler_shaman_unique_17"	"何が必要なのだ、リックス？"
"DCG_VO_prowler_shaman_unique_18"	"どうすれば反乱の役に立てる？"
"DCG_VO_prowler_shaman_unique_19"	"リックス、お前は正しい選択をした。"
"DCG_VO_prowler_shaman_unique_20"	"反乱の調子はどうだ、リックス？"
"DCG_VO_prowler_shaman_healed_01"	"おおお"
"DCG_VO_prowler_shaman_healed_02"	"ありがとう"
"DCG_VO_prowler_shaman_healed_03"	"感謝する。 "
"DCG_VO_prowler_shaman_healed_04"	"申し分のないタイミングだ…"
"DCG_VO_prowler_shaman_healed_05"	"今日、助けが必要だったのは私の方らしい…"
"DCG_VO_prowler_shaman_taunt_generic_01"	"勝利は近い！"
"DCG_VO_prowler_shaman_taunt_generic_02"	"エンシェントを破壊せよ！"
"DCG_VO_prowler_shaman_taunt_generic_03"	"敵のエンシェントは倒れる！"
"DCG_VO_prowler_shaman_taunt_generic_04"	"負けぬぞ！"
"DCG_VO_prowler_shaman_taunt_generic_05"	"そろそろ終わりにするぞ！"
"DCG_VO_prowler_shaman_taunt_generic_06"	"勝てるぞ！"
"DCG_VO_prowler_shaman_taunt_generic_07"	"まもなく森に平和が戻る！"
"DCG_VO_prowler_shaman_taunt_generic_08"	"共に勝利をつかもう！"
"DCG_VO_prowler_shaman_taunt_generic_09"	"このまま行けば勝てるぞ！"
"DCG_VO_prowler_shaman_taunt_generic_10"	"我らを拒むことはできん！"
"DCG_VO_prowler_shaman_potential_kill_01"	"捉えたぞ！"
"DCG_VO_prowler_shaman_potential_kill_02"	"私から逃れることはできん。"
"DCG_VO_prowler_shaman_potential_kill_03"	"お前は私に勝てぬ。"
"DCG_VO_prowler_shaman_potential_kill_04"	"よく抵抗したな、だが力不足だ。"
"DCG_VO_prowler_shaman_potential_kill_05"	"立派な戦いぶりだが、無駄だ。"
"DCG_VO_prowler_shaman_potential_save_01"	"お前の悪知恵などその程度だ。"
"DCG_VO_prowler_shaman_potential_save_02"	"残念だったな。"
"DCG_VO_prowler_shaman_potential_save_03"	"まだ私の死ぬ時ではない。"
"DCG_VO_prowler_shaman_potential_save_04"	"私も一瞬不安になったぞ。"
"DCG_VO_prowler_shaman_potential_save_05"	"今のは危なかった。"
"DCG_VO_prowler_shaman_permanent_armor_01"	"我が民に尽くしてみせよう。"
"DCG_VO_prowler_shaman_permanent_armor_02"	"防御は万全だ。"
"DCG_VO_prowler_shaman_permanent_armor_03"	"これで敵が来ても踏みとどまれる。"
"DCG_VO_prowler_shaman_permanent_armor_04"	"簡単な魔法だが、今必要なものだ。"
"DCG_VO_prowler_shaman_permanent_armor_05"	"私は生き延びなくては…"
"DCG_VO_prowler_shaman_permanent_attack_01"	"私にさらなる力が宿る。"
"DCG_VO_prowler_shaman_permanent_attack_02"	"敵を引き裂いてしんぜよう。"
"DCG_VO_prowler_shaman_permanent_attack_03"	"どんどん敵をよこすがよい。"
"DCG_VO_prowler_shaman_permanent_attack_04"	"プローラーの真の力を見せてくれよう。"
"DCG_VO_prowler_shaman_permanent_attack_05"	"戦闘の準備は整った。"
"DCG_VO_prowler_shaman_permanent_health_01"	"私を殺せるものなら殺してみるがいい。"
"DCG_VO_prowler_shaman_permanent_health_02"	"私は敵の餌食にはならん。"
"DCG_VO_prowler_shaman_permanent_health_03"	"どんな苦難にも耐えよう。"
"DCG_VO_prowler_shaman_permanent_health_04"	"これぞ適者生存だ。"
"DCG_VO_prowler_shaman_permanent_health_05"	"私の精神は不屈だ。"
"DCG_VO_prowler_shaman_cast_spell_01"	"民のためなら、労も厭わぬ。"
"DCG_VO_prowler_shaman_cast_spell_02"	"森が私に力をくれる…"
"DCG_VO_prowler_shaman_cast_spell_03"	"知恵では私に勝てぬ。"
"DCG_VO_prowler_shaman_cast_spell_04"	"私はお前が考えるよりも老獪だ…"
"DCG_VO_prowler_shaman_cast_spell_05"	"私はここの支配者だ。"
"DCG_VO_prowler_shaman_cast_spell_06"	"プローラーの力は無比だ！"
"DCG_VO_prowler_shaman_cast_spell_07"	"これから起きることに、慌てふためくがいい…"
"DCG_VO_prowler_shaman_cast_spell_08"	"必要なら何でもしよう。"
"DCG_VO_prowler_shaman_cast_spell_09"	"希望を持つのだ。"
"DCG_VO_prowler_shaman_cast_spell_10"	"諦めてはならん。"
"DCG_VO_prowler_shaman_buff_ally_01"	"さらに強くなるのだ。"
"DCG_VO_prowler_shaman_buff_ally_02"	"全員を守ってみせる。"
"DCG_VO_prowler_shaman_buff_ally_03"	"お前たちの面倒は私が見る。"
"DCG_VO_prowler_shaman_buff_ally_04"	"プローラーを信じろ。"
"DCG_VO_prowler_shaman_buff_ally_05"	"これで皆安全だ。"
"DCG_VO_prowler_shaman_buff_ally_06"	"勝つ時も死ぬ時も一緒だ…"
"DCG_VO_prowler_shaman_buff_ally_07"	"お互いを守らないとな。"
"DCG_VO_prowler_shaman_buff_ally_08"	"当然の助け合いだ…"
"DCG_VO_prowler_shaman_buff_ally_09"	"力を合わせてこそ強くなれる。"
"DCG_VO_prowler_shaman_buff_ally_10"	"プローラーの助けだ、受け取れ。"
"DCG_VO_prowler_shaman_debuff_enemy_01"	"臆病者め！"
"DCG_VO_prowler_shaman_debuff_enemy_02"	"逃げた方がいい。"
"DCG_VO_prowler_shaman_debuff_enemy_03"	"お前は未熟だ。"
